verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,label,article_title,article_content
false,Chuck Grassley,"Says President Barack Obama is trying to ""pack"" the D.C. Circuit Court of Appeals.",6/3/2013,news,Louis Jacobson,6/5/2013,https://www.politifact.com/factchecks/2013/jun/05/chuck-grassley/barack-obama-trying-pack-dc-circuit-court-appeals/,0,,"Says President Barack Obama is trying to ""pack"" the D.C. Circuit Court of Appeals."
pants-fire,Facebook posts,"""The Clinton Foundation folded.""",2/4/2018,social_media,Tom Kertscher,2/11/2021,https://www.politifact.com/factchecks/2021/feb/11/facebook-posts/clinton-foundation-has-not-folded-2018-post-s-reci/,0,,"""The Clinton Foundation folded."""
mostly-false,Steve Southerland,"Says Gwen Graham ""was a Washington lobbyist.""",9/10/2014,campaign,Joshua Gillin,9/23/2014,https://www.politifact.com/factchecks/2014/sep/23/steve-southerland/steve-southerland-says-gwen-graham-was-washington-/,0,,"Says Gwen Graham ""was a Washington lobbyist."""
false,Viral image,"""The first Statue of Liberty given to the U.S. by France was a Black woman which the U.S. rejected.""",12/22/2018,social_media,Noah Y. Kim,7/31/2020,https://www.politifact.com/factchecks/2020/jul/31/viral-image/viral-image-shows-caribbean-statue-unveiled-2007-n/,0,,"""The first Statue of Liberty given to the U.S. by France was a Black woman which the U.S. rejected."""
mostly-false,SEIU,"Says U.S. Senate candidate Cory Gardner ""blocked immigration reform"" and ""voted to deport our DREAMers.""",7/29/2014,radio,Steve Contorno,8/4/2014,https://www.politifact.com/factchecks/2014/aug/04/service-employees-international-union-committee-po/seius-spanish-language-ad-claims-cory-gardner-bloc/,0,,"Says U.S. Senate candidate Cory Gardner ""blocked immigration reform"" and ""voted to deport our DREAMers."""
pants-fire,Chain email,A hidden provision in Obamacare taxes sporting goods as medical devices.,6/12/2013,email,Tom Feran,6/14/2013,https://www.politifact.com/factchecks/2013/jun/14/chain-email/chain-email-claims-health-care-law-contains-hidden/,0,,A hidden provision in Obamacare taxes sporting goods as medical devices.
pants-fire,Democratic Party of Wisconsin,"Wisconsin dropped ""from second in the country to 41st"" among states where more than half the students took the ACT exam.",1/14/2016,news,Tom Kertscher,1/15/2016,https://www.politifact.com/factchecks/2016/jan/15/state-democratic-party-wisconsin/blaming-scott-walker-democrats-say-wisconsins-rank/,0,,"Wisconsin dropped ""from second in the country to 41st"" among states where more than half the students took the ACT exam."
false,Facebook posts,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,4/10/2020,social_media,Tom Kertscher,4/21/2020,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/herd-immunity-curbed-covid-deaths-no/,0,,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.
mostly-false,People for the American Way,"Says Marco Rubio ""voted to deport"" young people known as Dreamers.",4/13/2015,radio,Lauren Carroll,4/14/2015,https://www.politifact.com/factchecks/2015/apr/14/people-american-way/did-marco-rubio-vote-deport-dreamers/,0,,"Says Marco Rubio ""voted to deport"" young people known as Dreamers."
false,Ken Cuccinelli,"""Terry McAuliffe cashed in, walking away with millions"" from the demise of Global Crossing.",9/6/2013,advertisement,Warren Fiske,9/23/2013,https://www.politifact.com/factchecks/2013/sep/23/ken-cuccinelli/cuccinell-ad-says-mcauliffe-cashed-demise-global-c/,0,,"""Terry McAuliffe cashed in, walking away with millions"" from the demise of Global Crossing."
false,Tim Kaine,"The ceilings of the Virginia Senate and House chambers are ""circled by gold-embossed tobacco leaves.""",5/20/2019,speech,Warren Fiske,5/30/2019,https://www.politifact.com/factchecks/2019/may/30/tim-kaine/sorry-tim-kaine-theres-no-tobacco-frescoed-state-c/,0,,"The ceilings of the Virginia Senate and House chambers are ""circled by gold-embossed tobacco leaves."""
pants-fire,Carly Fiorina,"""Obamacare isn't helping anyone.""",11/10/2015,speech,Louis Jacobson,11/11/2015,https://www.politifact.com/factchecks/2015/nov/11/carly-fiorina/carly-fiorina-says-obamacare-isnt-helping-anyone/,0,,"""Obamacare isn't helping anyone."""
false,Hillary Davis,"""The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state.""",5/6/2015,testimony,C. Eugene Emery Jr.,6/14/2015,https://www.politifact.com/factchecks/2015/jun/14/hillary-davis/aclu-says-profits-traffic-cameras-go-private-compa/,0,,"""The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state."""
false,Facebook posts,"Says Kamala Harris inaccurately ""claimed to be bussed in the 60’s due to segregation type issues.""",8/13/2020,social_media,Ciara O'Rourke,8/19/2020,https://www.politifact.com/factchecks/2020/aug/19/facebook-posts/young-kamala-harris-was-among-berkeley-students-bu/,0,,"Says Kamala Harris inaccurately ""claimed to be bussed in the 60’s due to segregation type issues."""
pants-fire,Larry Kudlow,"""The deficit ... is coming down, and it’s coming down rapidly.""",6/29/2018,news,Louis Jacobson,7/2/2018,https://www.politifact.com/factchecks/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0,,"""The deficit ... is coming down, and it’s coming down rapidly."""
pants-fire,Chain email,"Barack Obama is the ""first president to file lawsuits against the states he swore an oath to protect.""",6/18/2014,other,Louis Jacobson,6/18/2014,https://www.politifact.com/factchecks/2014/jun/18/chain-email/chain-email-falsely-says-barack-obama-first-presid/,0,,"Barack Obama is the ""first president to file lawsuits against the states he swore an oath to protect."""
mostly-false,Sean Duffy,"Says President Barack Obama’s homeland security budget had ""$16 million to fight climate change"" but ""didn't have a line item to fight violent extremism.""",12/9/2015,news,Tom Kertscher,12/18/2015,https://www.politifact.com/factchecks/2015/dec/18/sean-duffy/barack-obama-gives-homeland-security-millions-clim/,0,,"Says President Barack Obama’s homeland security budget had ""$16 million to fight climate change"" but ""didn't have a line item to fight violent extremism."""
mostly-false,ClearPath Action Fund,"Says ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""",9/28/2016,campaign,Nadia Pflaum,10/10/2016,https://www.politifact.com/factchecks/2016/oct/10/clearpath-action-fund/response-politifact-ohio-super-pac-takes-down-its-/,0,,"Says ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed."""
false,The Gateway Pundit,Says Joe Biden called for a jihad in a video.,10/9/2020,news,Hayat Norimine,10/13/2020,https://www.politifact.com/factchecks/2020/oct/13/gateway-pundit/no-us-government-didnt-promote-video-joe-biden-cal/,0,,Says Joe Biden called for a jihad in a video.
false,Facebook posts,"""American coronavirus vaccine killed five Ukrainians.""",7/18/2020,social_media,Tom Kertscher,7/30/2020,https://www.politifact.com/factchecks/2020/jul/30/facebook-posts/theres-no-evidence-us-covid-19-vaccine-killed-5-uk/,0,,"""American coronavirus vaccine killed five Ukrainians."""
false,ThatViralFeed.net,"""Pro-Lifers Declare 'Ejaculation Is Murder: Every Sperm Cell Is A Life.'""",5/16/2016,blog,Joshua Gillin,12/20/2016,https://www.politifact.com/factchecks/2016/dec/20/thatviralfeednet/every-sperm-cell-life-story-fake-if-you-click-thro/,0,,"""Pro-Lifers Declare 'Ejaculation Is Murder: Every Sperm Cell Is A Life.'"""
mostly-false,Patricia Fahy,"As for recreational marijuana revenue projections, ""we are seeing all those numbers reach disappointing levels in the states that have legalized. They’re not meeting their targets for the most part.""",1/14/2019,radio,Jill Terreri Ramos,1/21/2019,https://www.politifact.com/factchecks/2019/jan/21/patricia-fahy/fahy-claims-marijuana-revenue-disappointing/,0,,"As for recreational marijuana revenue projections, ""we are seeing all those numbers reach disappointing levels in the states that have legalized. They’re not meeting their targets for the most part."""
false,Lamar Alexander,"The Obama administration's cap-and-trade plan would create ""a $1,761 yearly energy tax.""",9/16/2009,news,Catharine Richert,9/18/2009,https://www.politifact.com/factchecks/2009/sep/18/lamar-alexander/alexander-claims-cap-and-trade-will-cost-consumer-/,0,,"The Obama administration's cap-and-trade plan would create ""a $1,761 yearly energy tax."""
pants-fire,Viral image,"Photo shows a ""clearly intoxicated"" Kamala Harris ""throwing up in the bushes & staggering aimlessly at the Cleveland airport.""",10/24/2020,social_media,Ciara O'Rourke,10/31/2020,https://www.politifact.com/factchecks/2020/oct/31/viral-image/no-photo-doesnt-show-intoxicated-kamala-harris/,0,,"Photo shows a ""clearly intoxicated"" Kamala Harris ""throwing up in the bushes & staggering aimlessly at the Cleveland airport."""
